Type,Name,Age,Breed1,Breed2,Gender,Color1,Color2,Color3,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Quantity,Fee,State,RescuerID,VideoAmt,Description,PetID,PhotoAmt,AdoptionSpeed
1,Scruffy,3,128,307,2,1,2,7,2,2,1,1,2,1,1,0,41326,e5f791909629e34d5dcef44bbaf3da37,2,"Scruffy is looking for a good home/family who will spend lots of time with her, take her for long walks and most importantly give her lots of love... ************************************************** This is Scruffy's story: About a month ago, I was at my usual coffee shop in Hulu Kelang this morning, when I saw this tiny puppy wandering round the shop. She was really frail and quite dirty with a skin condition, and was looking for a kind person to cuddle up to and not so much for food. But of course Malaysians being Malaysians, most of them shoo-ed her away and some even kicked her. The coffee shop owner then informed me that her mother had recently been killed - someone had poisoned her. As I usually have a small amount of dog food with me in the car, I gave her some. She ate a little but just wanted to be petted. She then went to another table curled up at the feet of this old man. Thankfully this man did not kick her. I asked several people if they would take her, but of course none would. In the end, I asked the shop owner for a box and brought her home. I just could not bring myself to leave her there. I took her to the vet and it was confirmed that she had a severe case of sarcoptic mange. She was treated with Ivermectin for 5 weeks and she is now a healthy, active puppy. We're not entirely sure what breed she is, but she looks like she could have some Jack Russell in her and possibly some Dalmation as well as she has quite a lot of spots... She has just received her first vaccination and will be completing the remaining 2 shots soon. She has a very good temperament and is good with other dogs. She is curious about our cat and has shown no signs of aggression towards it. She is very playful and is a fast learner. For more pictures etc of Scruffy, please visit www.cleopatrathelabrador.blogspot.com",763264fa2,8.0,3
2,Brownie,24,292,0,1,2,7,0,2,2,1,1,1,1,1,0,41401,57cd0090157a646a0191219f639be094,0,Vaccination certificate will be provided. Looking for responsible owner. Contact: Miss Janet James (),5346481de,2.0,3
2,San-kun,12,303,0,2,1,2,3,1,2,1,1,1,1,1,300,41326,34489dacf725ac938f3b7ec10da09b6f,0,"1) San is currently healthy, happy and friendly. 2) She is vaccinated and spayed. (yearly vaccination is still required) 3) Fully indoor and litter trained, 4) just need to find new owner who are willing to love this sweet and adorable cat. whatsapp me at anytime for more details. please no calls during office hour tq.",4e6750363,4.0,4
1,,1,307,0,1,1,2,7,2,1,2,2,2,1,1,0,41326,f0124541166e6000e54215914acfcef4,0,This male puppy is one month old and obedient.,3db150833,1.0,3
1,Maximus,8,205,0,1,2,5,0,1,2,1,1,2,1,1,0,41326,b9351e15ac37a3cc56086320835601c0,0,We adopted him back then when he was badly injured. We believe because of the wound was not being taken care properly that caused him blinded one eye. He's active and obedient but i need to travel frequently and unable to spend much time with him.,7f8955f6a,4.0,3
2,Free Orange Kitten For Adoption!,3,265,0,1,3,7,0,1,2,2,2,2,1,1,0,41326,63b60b8da35085adcc45418118258587,0,"This orange color kitty was given birth by our own cats - Meow Mi and Mi Meow II. Since we are having 4 adult cats, and also 2 kids and an elderly at home, we have to limit the no. of cats. If you are interested to give this cute and playful kitty a new & permanent home, contact us now. ^.^",df70eb456,3.0,1
2,Caramel And Babies,3,266,0,3,2,5,0,1,1,2,3,2,1,4,0,41326,cdf3d43000aa26a8d510e149070a6fba,0,Mother was abandoned while pregnant. A friend fostered the mother until she gave birth. The 3 kittens were recently weaned to solid food.,bb78d1aa5,1.0,3
2,Chico,2,274,285,1,3,5,7,2,2,2,1,2,1,1,100,41326,95eab75701bfbddafb9e1e01e1ee9214,0,Chico Male 2 month Father : Korat Mother : Mix Persian Very Cute and Active Very Soft Medium Fur Easy to manage Toilet Train (Clumping Sand) Blackwood / Iams Adoption Fees:RM COD Mentari Court Sunway Please SMS (affi),c2284e2e9,4.0,2
2,Little Baby,5,266,0,1,1,7,0,2,2,1,1,2,1,1,0,41326,fd56b5e35bf2013ae2aa6401c6dc7f8e,0,"Found this little fellow laying in the middle of the road two months back. Picked him up & sent him to the vet. Nursed him back to health. Vaccinated & dewormed. In very good health. Very active & playful. He is missing an eye as you can see from the photos. He needs to stay indoors. I already have 4 cats & 2 senior dogs. Can't manage to keep anymore pets. He needs special attention, as he is partially blind. He needs an owner with a loving heart & patience. Preferably someone who can spend time to guide him to familiarise with the surrounding or other pets.",ff22356ef,4.0,3
2,,1,266,0,3,1,7,0,2,2,2,2,2,1,2,0,41326,da0b3dccf3968f33f29f1e56f682b23b,0,"1)Black, brown & white 2)Black, Yellow & White Those kittens are borned on 5th August . Hoping to find lovely & caring owners for those cute kittens.",5112569f6,4.0,2
2,Baby,3,254,265,2,1,2,7,1,2,2,1,2,1,1,0,41401,2ed5e6622e8d49859f21f05895acbb02,0,"About The Pet RESCUED STRAY KITTEN Newly rescued, about two weeks ago. Very quiet cat, doesn't meow much. She loves to play with the rope and cat toys. So far, she doesn't scratch and bite us as she is very tame. She has fluffy hair, and medium length fur Diet: Royal Canin Kitten Cat litter and pine wood trained. Very Disciplined. Has never poo-ed or pee-ed around so far. Only Serious Adopters :) -Please Whatsapp me for more photos of hers. TQ IF UR INTERESTED: Kindly contact us at' - Farah (Whatsapp, Call and SMS) ***Whatsapp is more preferable. We hope that you can be the new family for her. TQ P/s No delivery :) Please come to our house to have a look at her first, and only if ur interested, you can bring her home! :) (once you brought it home, but find it not suitable to you, you can return it to us) LOCATION : Taman Desa, Jln Klang Lama (5 mins from MidValley, 2 mins from Desa Waterpark) Thank You for viewing the cat's profile. ***We recommend you to consult the vet after the adoption of the cat as our cats are stray and rescued ones. We highly suggest the adopters to vaccinate the cats and to spay/neuter it once it reached its maturity to avoid more strays by the roadside. TQ",d072a58e5,3.0,2
1,,0,307,307,3,1,2,4,2,2,2,2,2,1,7,0,41401,42d8ff353fbe3e1db8ae40b84974d576,0,"Tne pupies are belongs to Mr. Wong, who interested can call him, his contact No: or",59d95faef,1.0,4
2,Kiki,24,265,0,2,1,3,7,2,2,1,1,1,1,1,250,41327,ed3b3064b3918844e55fe487fc0be624,0,"Name: Kiki Age: Almost 2-years old Gender: Female Color: Brownish black stripes Fur: Medium-long hair Litter-box trained, vaccinated and neutered. Suitable for cat lover who wants to have one/fewer cat(s) at home. COD in Penang island only. Price: RM (price is given based on the vaccine and neuter costs) SMS/WhatsApp Eni at if you're interested",4b29bbd04,2.0,4
1,Boy,12,307,0,1,5,0,0,2,2,1,1,2,1,1,0,41326,6757d0b9d5b72d8b78c20e355c7fe62c,0,-playful -energetic dog -friendly and easily attached to owners -good to be guard and sports companion,4e3640544,1.0,3
2,,3,266,0,3,5,0,0,1,1,2,2,2,1,3,0,41326,1f095c9ae6fa21db59cbca49e992efc1,0,Mixed gender 2 ekor color kuning cream 1 ekor mixed color Comel & Sihat Toilet trained Sms/ Whatsapp,8f34b67ca,2.0,4
1,Cherry,1,307,0,2,2,0,0,2,2,1,2,2,1,1,0,41326,608b50e3d4922aa683954f61bf023455,0,We are looking for serious and responsible adopter to give this sweet puppy a great home.,1c6e35149,2.0,2
1,Patch,2,307,0,1,2,5,0,2,1,1,1,1,1,1,0,41326,835aa458cb6bd641712d6aa9b8678260,0,Sweet Patch is waiting for his forever home. Only to good homes...he will be. Pls call.,b70ec3788,1.0,2
1,,2,307,0,2,1,2,0,2,2,1,1,2,1,1,0,41330,82eca369ffffb30f9cb47d4f2d011356,0,"We are a group of students from Kampar,Perak who rescuing animals. Please help to adopt if you can, thanks. She had been dewormed and apply flea and tick control. And 1st vaccine was done. She is now up for ADOPTION :) anyone interest pls call",db05d2fb1,1.0,1
1,Cookie,3,307,307,2,1,0,0,2,2,1,1,2,1,1,0,41326,21f17d6e70d487657562df51e532d551,0,Cookie was rescued nearby my house. Hope she can get a good home. Please contact me for further details. Thanks. FREE ADOPTION!! Come,7a12a494f,9.0,4
1,Upin Ipin,36,307,0,1,1,0,0,3,1,1,1,1,1,2,0,41336,b9cd8d4ce2ad97b62a4058dea615f3db,0,"Upin Ipin, name given to my black beauties. Rescued and given a new home but I'm desperately looking for someone who can let both live indoor as both beauties are capable of climbing the gate and escape. Both are well behaved and love to be cuddle at all times. However, if you wish to keep them in the compound to guard your home, please ensure that the wall is high enough to refrain them from climbing. Both are smart and will listen to you command. Please help to share and find them a forever loving home.",be0635ef2,3.0,3
2,"Meyo(Male),Mei(Female)",9,267,0,1,2,6,7,2,2,1,2,1,1,2,0,41401,9b64ae3f01201f48c0d9e8aa89b1a45c,0,They are lovely and sticky. They love following you around and sleep with you whenever you are on the bed. aaah :) They are enthusiastic and very very friendly.,25fb57849,5.0,2
1,Pinky,3,307,0,2,2,7,0,2,2,1,1,2,1,1,0,41326,fa90fa5b1ee11c86938398b60abc32cb,0,She was found wondering on the street with some pink colour dye/paint on her. Believed to be someone pouring some dye on her. Otherwise she is a beautiful puppy with beautiful eyes and nice fur. A little fluffy but does not require grooming. No caging or tying for long hour except for precautionary purposes Commitment to spay her is compulsory upon adoption. Pls contact me or Nancy if you are interested to adopt her.,7d930d08c,7.0,2
1,Sunway,5,307,0,1,4,5,0,2,1,1,1,1,1,1,0,41401,ee2747ce26468ec44c7194e7d1d9dad9,0,Sunway is our first dog ever whether rescued or surrender who loves the camera. He is a joy to photograph who will just pose quietly and look into your camera.Can you imagine how well you can trauin him and what a loyal pet he will be.He deserves a an owner who coulsd see & appreciates this worthy quality in him,63a3f229c,10.0,2
2,Xiao Bai,1,266,0,2,1,7,0,1,1,2,2,2,1,1,0,41401,b770bac0ca797cf1433c48a35d30c4cb,0,"My own cat. 2 months. Healthy and active. With blue eyes. Sorry, my friend cancel the adoption. So it is still open for adoption. Thanks.",f559980ed,2.0,2
1,Saver,3,307,0,1,1,2,0,1,1,3,3,3,1,1,0,41401,cbea990147d46c54e25bd194dc34d12e,0,This dog is so cute.. Very active and smart... We saw in the street last week... But i cant find the owner.. Then i decided to bring home ... But sadly i got one dog already.. My dog dont want to eat and fighting with the stray dog... That is why i decided to give to somebody who can look after him well..,f60ee7233,1.0,4
1,Jerry,2,307,307,1,2,0,0,2,2,1,1,2,1,1,0,41326,b53c34474d9e24574bcec6a3d3306a0d,0,for adoption,890dc359d,4.0,2
2,Family Oren,2,266,0,3,7,0,0,1,1,2,2,2,1,3,0,41327,b89705174fa8adef99647526b123404e,0,kucing yang di buang pagi td oleh orang yang tak bertanggungjawab....satu ibu dua anak kecik dalam umur 2 3 bulan macam tuh...jantan dengan betina,c98ae8e1e,5.0,4
1,6 Puppies,2,307,307,3,5,7,0,2,1,2,2,2,1,6,0,41326,fbe18773612cd7ab7a818cdc0b0da4c5,0,"My parents have 2 mixed breed (mongrels) who recently gave birth to 6 beautiful, white / cream coloured pups. There are 3 females and 3 males. Unfortunately my parents are not well to do and cannot keep them or give them the proper medical attention that they need like vaccination, deworming, spaying, etc and can not even take care of their weekly meals. They are now 2 months old and healthy, and we are looking for good owners for them to live a good, healthy doggy life.",ba04f3e21,5.0,3
2,,3,264,0,1,1,7,0,2,3,2,1,2,1,1,0,41326,f4bdb2393f541926230c24e460862848,0,Adopter must agree to spay him. Very affectionate and love reaching out his tiny little paws to touch u for attention. Also loves playing with your hands and always focus while looking at you curiously when being talked to. Already start eating solid food . Active boy and thick fur. I find his eyes very charming.,c0a9578bb,5.0,2
2,Blacky,3,266,0,1,1,6,0,2,1,2,1,2,1,1,0,41336,badb50288865ee2a4cf75a5909f34301,0,"a homeless kitten found in Dewan Raya Bandar Putra with poor health condition. I have brought him to vet for getting treatment in eyes and flu. Fully recovered now. litter-train, very active, playful, like to jump high. Deflea and dewormed done. Haven't vaccine yet. Wish to find him a good owner so this furry kid no longer need to loiter on street.",620ebd7ab,10.0,2
1,Boyboy,24,182,0,1,5,0,0,2,1,2,1,1,1,1,100,41326,61bd187b6069ac9778d92b6f9b77b0dd,0,Male. 2 years old. Cheerful. Playful. Friendly. Desex.,6e3631a29,2.0,1
1,Brownie The Puppies,3,307,0,3,1,2,3,2,1,2,2,2,1,4,0,41326,bdc8eca0f1762ecfa410dda27aaad8a8,0,"I've actually no role in this adoption but I'm just helping the vets at Hands & Paws to seek suitable adopters for this 4 adorable brown puppies. There are 4 active puppies at the vet in Aman Suria awaiting adoption. They are approximately 3 months but under-nourished. They were found in a box outside the vet clinic. 5 other of their siblings didn't survive due to heat stroke. No mother. Here's a pic of them. They're super adorable & responsive. Love at 1st sight! :) Anyone interested please call Hands & Paws vet clinic at. Please spread the word. Thanks! Hands & Paws Vet Clinic is located at Aman Suria (near the Original Kayu restaurant). They're open Mon-Sat am - 7pm, Sun am-3pm",0d873789a,1.0,3
1,Teddy (miniature Schnauzer),3,195,0,1,6,7,0,1,2,1,1,2,1,1,0,41336,1abdc779d1921144884430378ea8c408,0,Thank you for all who have contacted us. We found a good home with big space and a playmate for Teddy nearby our home. We get to visit him during the weekends.,3b0b2a86a,5.0,1
2,Miu Miu,3,266,0,2,1,6,7,2,1,1,1,3,1,1,0,41332,e2c46d68464925bdc42b9ff1001369e6,0,"MIU MIU a cute little kitten is looking for a new family to adopt her. She is the youngest one in the family, loves to be pampered, cuddled, played wth. She likes to talk to u, she probably thought we know the language ""meow meow"". That is where she got her name from.",3c1370c6a,7.0,1
1,Corolla,3,307,0,1,5,0,0,2,1,3,1,2,1,1,0,41401,c00756f2bdd8fa88fc9f07a8309f7d5d,0,"Corolla was rescued from Selayang factory, a caretaker has helped look after them and unfortunately, one puppy got killed by the truck at the factory. Active lovely puppies. Please call: for an appointment to see the pups. tq",b386d20ba,9.0,3
1,Kittens Available For Adoption,2,307,0,3,2,4,7,2,2,2,2,3,1,4,0,41401,7ada90c0692307d1fed223c5c9ede6d7,0,"Hi cat lovers! -4 kittens now available for adoption - location : USJ 1, Subang Jaya - feel free to ask via Whatsapp or email - 3 male(1brown&2yellow) 1 female (brown) - we would like our kittens to have a loving home with loving owner - we strongly urge Not to use cage. This kittens is indoor cats. They're free cats, do not caged them.",fb9833d4b,5.0,4
2,Kitten RR3,4,266,0,1,4,7,0,2,1,1,1,1,1,1,0,41401,b770bac0ca797cf1433c48a35d30c4cb,0,Rescued by Ms Rose. Male-4mths+. Already spayed. Done 1st vaccinated and dewormed. Open for Malaysia citizen only. Kindly whatsapp or SMS to me at if u are interested to adopt🙏,7a72ba3d7,1.0,4
1,Nutmeg,2,307,0,2,2,7,0,2,1,1,1,2,1,1,0,41326,a042471e0f43f2cf707104a1a138a7df,0,Nutmeg is hyperactive and curious of her surroundings...a normal behaviour of puppies.Those who wants to give her a home must be prepared and patient to guide her to be a loving and loyal companion.She will definately bring a lot of joy and laughters in your life with her innocence.New owner must spay her when she is older.,924373704,8.0,3
1,Hayden,2,307,0,1,2,0,0,2,1,1,1,2,1,1,0,41401,c00756f2bdd8fa88fc9f07a8309f7d5d,0,Smart Puppy,27cede3cf,1.0,2
1,The Eight Magnificent Mongrel,1,307,0,3,2,5,7,2,2,2,2,2,1,8,0,41326,0577c6c14f7bba1018ebbf0b995f1fbb,0,"Puppy for adoption 4 male, 4 female (male- 1 beach, 1 white brown strip, 1 white , 1 brown.. female - 3 browns , 1 beach ) Available for collection after 1 month. Not vaccinated or sterilized Interested pls contact",6d1596957,1.0,4
2,Lucy,16,265,0,2,6,0,0,3,2,1,1,1,1,1,0,41401,31867701a9a92227eb84125f17054d55,1,"Lucy is a very joyful, adorable and very obedient cat... We consider her as family... shes with us ever since she was 3 weeks old... Unfortunately we have to leave the country by the end of august and we are very concerned about Lucy... we need a loving family to adopt her and it really breaks my heart to say good bye to her....",308a16b6e,2.0,4
2,Nini,2,266,0,2,3,7,0,1,1,2,2,2,1,1,80,41326,95eab75701bfbddafb9e1e01e1ee9214,0,"Age:2 and a half months old It's a female kitten Very Active and Healthy COD at Mentari Court, Bandar Sunway Pls SMS me, Affi at",5d5942493,3.0,2
2,,3,266,0,3,1,6,7,3,1,3,3,3,1,3,0,41326,9bb6a0a909be2c2a172b074d3aa414c2,0,"Those cats are very healthy. Age 3 months old but look big. The owner kept them after the mother cat left. They are very cudly, active and toilet trained.",98f0a2ac7,3.0,1
2,Diesal,4,266,0,1,1,0,0,1,1,2,1,2,1,1,0,41327,f600975ef16b5d3705069ba10ae25d51,0,Penang Area / Ipoh Area / KL Area Inbox to ask more about betty Ipoh & KL area please inbox me to arrange time .. Thank you ...,d946f7a55,4.0,4
1,Summer Girl,2,307,0,2,2,5,7,2,2,1,1,2,1,1,100,41326,a23a047157d709e38cf801a723a246ba,0,"Mother was beagle cross, father unknown.",1940b59e7,1.0,2
1,Muffin,1,307,0,1,1,2,7,1,1,2,2,3,1,1,0,41401,643108e6d5ea3123827c70981a85a1b7,0,"Muffin was found abandoned at my front door at birth by someone unknown person. He is a 2-4 weeks mixed breed male puppy. This adorable puppy has a lovely nature, very friendly, gentle and healthy and looking for a good home. I'm already taking care of 3 dogs and really can't afford to take in more. Please give him a place in your heart and home. Please call or whatsapp me at .",c7b3c09d4,5.0,2
1,Xiao Huang,36,109,0,2,3,0,0,3,2,1,1,2,1,1,0,41326,d8a521b5424eb64acc71ac82ace5272b,0,"We bought Xiao Huang since she was 4 month's old from a breeder in Taiping. She is an active and playful dog. However due to some personal reasons which I do not want to disclose here, we have to give her up for adoption. It is a hard decision but we decided to re-home her with someone who have more time for her. Looking for a caring and dedicated owner (no breeder please) so that Xiao Huang have a better life. One thing to note, she has sensitive skin. Currently on fish and vegetarian diet otherwise she will have skin rashes. Those who wish to adopt, kindly come to my house to have a look before decide to adopt. Thanks.",adc3a477a,1.0,2
2,Quicksilver,6,266,0,1,6,7,0,2,1,1,1,1,1,1,50,41401,8ffce5c58bc69ccac0ceee68ddce6ffd,0,"very friendly, playful but possessive over feather toys. for more info petepicure.wordpress.com",165e11d30,0.0,3
2,,12,299,0,2,6,0,0,2,1,2,1,2,1,1,80,41326,5eaaa88b5605e700707d363dd1330273,0,Looking for new home.healthy and litter train.,a72e084a4,1.0,3
